,Movie,Year,Genre,Rating,Url,Synopsis,Downloads
0,Loves of a Nymphomaniac,1972,Drama,5.2 / 10,https://yts.rs/movie/loves-of-a-nymphomaniac-1972," During a plane trip from Athens to Rome, the young Cristiana, daughter of a prostitute, and her friend Luca, join in for wagering in the eyes of other passengers. Continuing their flight, the plane meets a storm and is about to crash . Terrorized, Christian make a promise: If God comes to her rescue, she will dedicate her life to being a nun. —Ulf Kjell Gür ",5959
1,Jackass: The Movie,2002,ActionComedy,6.6 / 10,https://yts.rs/movie/jackass-the-movie-2002," Johnny Knoxville and his crazy friends appear on the big screen for the very first time in Jackass: The Movie. They wander around Japan in panda outfits, wreak havoc on a once civilized golf court, they even do stunts involving LIVE alligators, and so on. While Johnny Knoxvile and his pals put their life at risk, they are entertaining people at the same time. Get ready for Jackass: The Movie!! —Uber Minion ",3434
2,Nude Area,2014,Drama,5.4 / 10,https://yts.rs/movie/nude-area-2014," A portrait of female seduction. Naomi is a sixteen-year-old Dutch girl from the chic Amsterdam South. She has an eye on Fama, also sixteen years old, a beautiful Arab girl living in a poor neighborhood in Amsterdam East. During a magical summer in Amsterdam, the two girls play an emotional game of love, seduction and attraction. ",5353
3,So Cute,2004,ComedyDrama,4.3 / 10,https://yts.rs/movie/so-cute-2004," Jang Su-ro lives in the slums of Korea with his three sons 963, Dog Nose and So-and-So, who just got out of prison. While So-and-So's loyalties to his mob boss and biological family are put to the test when he finds that his family's home is slated to be demolished by the mob's developers, the rest of the family's life is complicated with the arrival of Sun-yi, Jang's new girlfriend who annoys Dog Nose and attracts the affections of 963. ",1515
4,Story of a Cloistered Nun,1973,Drama,5.5 / 10,https://yts.rs/movie/story-of-a-cloistered-nun-1973," Carmela is a young aristocrat who refuses an arranged marriage and is sent to a convent. Her arrival intensifies the power struggle between the decadent nun Elizabeth, whose influential family maintain her debauched sapphic lifestyle inside the cloister, and the stern but evil Mother Superior, as both women are smitten by Carmela's beauty. Often imitated but never equaled, this elegant film denotes both the origin of Nunsploitation cinema and its artistic peak. ",3131
5,The Shield of Honor,1927,CrimeDrama,6.4 / 10,https://yts.rs/movie/the-shield-of-honor-1927," Diamond thieves have infiltrated the staff of O'Day Jewelry. The Los Angeles Police Dept. employs their newest weapon, an airplane, to help smash the diamond theft ring. ",2525
6,The Cellar,2022,Horror,5.6 / 10,https://yts.rs/movie/the-cellar-2022," Keira Woods' daughter mysteriously vanishes in the cellar of their new house. She soon discovers there is an ancient and powerful entity controlling their home that she will have to face or risk losing her family's souls forever. ",14948
7,Get Him Girl!,2021,ComedyRomance,6.3 / 10,https://yts.rs/movie/get-him-girl-2021," A love triangle story of a young woman named ""Sompoy"" who is bored of her hometown and wants to have a boyfriend that come from Bangkok, so she can leave her hometown behind. ",2323
8,Ned Kelly,1970,BiographyCrime,5 / 10,https://yts.rs/movie/ned-kelly-1970," Based on a true story, Ned Kelly is unable to support his family in the Australian outback, he turns to stealing horses in order to make money. He gets more deeply drawn into the outlaw life, and eventually becomes involved in murders. Based on the life of famed 19th-century Australian outlaw Ned Kelly. —[email protected] ",3131
9,On These Grounds,2021,Documentary,6.8 / 10,https://yts.rs/movie/on-these-grounds-2021," A viral video shows a white policeman throwing a Black teenager from her school desk. One woman helps the girl, faces the officer, and dismantles the system. ",2828
10,Sympathy for the Underdog,1971,CrimeDrama,7.4 / 10,https://yts.rs/movie/sympathy-for-the-underdog-1971," A yakuza gang gets driven out of Yokohama by a big gang from Tokyo. They relocate to Okinawa to violently start over. ",2828
11,The Game,1984,Horror,3.3 / 10,https://yts.rs/movie/the-game-1984," Three bored millionaires gather nine people in an old mansion, and give them a proposition--if they can meet and conquer their biggest fears, they'll get one million dollars in cash. ",2020
12,I,2021,Drama,6 / 10,https://yts.rs/movie/i-2021," Ah-young, a grown orphan with government aid cut off, starts working as a nanny for Young-chae, a single mother who works at a bar to make ends meet. One day, while Ah-young is asleep, Young-chae comes home drunk and seriously injures her baby by mistake. As Young-chae blames it on Ah-young, they drift apart. Then one day, Ah-young finds out that Young-chae is trying to give her baby up for adoption, and goes to stop her. —Lotte Entertainment ",2727
13,X,2022,Horror,7.2 / 10,https://yts.rs/movie/x-2022," Set in 1979, adult movie actors and a small film crew arrive to a farmhouse occupied by an elderly couple in the desolate Texas countryside to film an adult movie. As the day shifts to night, the visitors slowly realize that they are not safe, and are being targeted by a nearby enemy. ",118675
14,A Chinese Odyssey: Part Three,2016,Fantasy,3.6 / 10,https://yts.rs/movie/a-chinese-odyssey-part-three-2016," The third chapter of the cult-classic fantasy saga : A Chinese Odyssey. ",2525
15,"The Bronx, USA",2019,Documentary,6.1 / 10,https://yts.rs/movie/the-bronx-usa-2019," The socio-cultural history of the Bronx. ",3232
16,Going by the Book,2007,ActionComedy,7.4 / 10,https://yts.rs/movie/going-by-the-book-2007," A string of bank robberies sets off a public panic. To appease the residents of the city and fulfill his own ambitions, the newly-appointed chief of police decides to hold an anti-bank robbery drill to demonstrate the effectiveness of the police. He secretly appoints a naïve traffic cop to disguise as a robber, overlooking the fact that the inflexible, by-the-book officer will go all out in accomplishing any assigned mission--even when it's a robbery. —CJ Entertainment ",3737
17,The Fever,2004,Drama,5.7 / 10,https://yts.rs/movie/the-fever-2004," Tells the story of a woman who gets involved in politics with no previous contact with world events. ",2929
18,Déjà Vu,1985,Drama,4.9 / 10,https://yts.rs/movie/deja-vu-1985," A writer who believes that he was reincarnated believes that his present fiancée possesses the soul of his fiancée in his previous life, a ballerina. ",3333
19,King on Horseback,1958,AdventureDrama,5.3 / 10,https://yts.rs/movie/king-on-horseback-1958," Henri La Tour, a strolling player, is also a daring adventurer. So, when, after accomplishing a brilliant feat, he is awarded a title by King Louis XV, the Duke of Saint-Sever takes offense at it and challenges Henri to a duel. However, while they fight, a group of Austrian soldiers appear suddenly and the two rivals instantly unite to repel their enemies. Unfortunately, Saint-Sever is mortally wounded and, feeling he is about to die, he entreats his new friend to offer protection to Toinon, his natural daughter, whose life is being threatened... —Guy Bellinger ",2020
0,Funky Forest: The First Contact,2005,Comedy,6.7 / 10,https://yts.rs/movie/funky-forest-the-first-contact-2005," An outrageous collection of surreal, short attention span non-sequiturs largely revolving around Guitar Brother, his randy older sibling, and the pair's portly Caucasian brother. ",3333
1,Girls to Buy,2021,Drama,5 / 10,https://yts.rs/movie/girls-to-buy-2021," Emi is a young ambitious girl who has been dreaming about a big world for years. Whenever an opportunity arises, she jumps into its modes without hesitation, becoming an exclusive escort. Soon it is she who, at the invitation of Arab sheikhs, begins to recruit Polish misses, celebrities, screen stars and models. However, this inaccessible, luxurious world will soon show its dark side . —G ",9393
2,A Good Man,2020,Drama,6.4 / 10,https://yts.rs/movie/a-good-man-2020," Benjamin and Aude want to have a baby, but when they find out that it is not possible for Aude to conceive, Benjamin comes up with a plan to solve their dilemma. ",4141
3,When the Whales Came,1989,Drama,6.2 / 10,https://yts.rs/movie/when-the-whales-came-1989," A pair of children befriend an eccentric old man, who lives isolated on the far shore of their island home. But it turns out that the old man knows a terrible secret about the island and the narwhales who sometimes come. Meanwhile, World War I is making life hard in the village. —Kathy Li ",4444
4,Grandma and Her Ghosts,1998,AnimationComedy,7.5 / 10,https://yts.rs/movie/grandma-and-her-ghosts-1998," A 5 year old kid moves to live with his grandma in a small town at Taiwan. Soon after, he discovers that her grandma is not only a vendor, but also she is good at catching spectres. One day, she comes across that her grandson has mistakenly releases some of the most ferocious ghosts from her house... —L.H. Wong ",3333
5,Will Success Spoil Rock Hunter?,1957,ComedyRomance,7 / 10,https://yts.rs/movie/will-success-spoil-rock-hunter-1957," In this spoof of the TV advertising industry, Rockwell Hunter is the low man on the totem pole at the advertising company where he works. That is, until he finds the perfect spokes model for Stay-Put lipstick, the famous actress with the oh-so-kissable lips, Rita Marlowe. Unfortunately, in exchange, Rock has to act publicly as Rita's ""Loverdoll"", and Rock's fiancée Jenny isn't too happy about it either. —Syam Gadde ",5959
6,"Signed, Sealed, Delivered: Higher Ground",2017,Drama,8 / 10,https://yts.rs/movie/signed-sealed-delivered-higher-ground-2017," The postal detectives reunite a couple separated by the aftermath of Hurricane Katrina. ",4949
7,Anna Magdalena,1998,ComedyFantasy,6.4 / 10,https://yts.rs/movie/anna-magdalena-1998," Scruffy but irresistibly attractive Yau Muk-yan, without a job or a place to live, moves in with sensitive, shy piano tuner Chan Kar-fu. Both are disturbed, then obsessed, by the amateurish piano playing of upstairs neighbour Mok Man-yee. Obsession turns to romance, and romance to fantasy. The film is structured in four ""movements"": two themes (Yau Muk-yan, Mok Man-yee), a duet (Yau Muk-yan & Mok Man-yee), and a set of variations (a wild fantasy of Chan Kar-fu in his new novel). —L.H. Wong ",3131
8,La balance,1982,CrimeDrama,6.6 / 10,https://yts.rs/movie/la-balance-1982," Nicole is a Parisian streetwalker and Dede is her racketeer boyfriend, on the outs with his mob bosses because of a dispute over Nicole. When a police informant (""balance"") is murdered, the cops have to scramble for a replacement. Deciding on Dede, they begin to put a nasty squeeze on him and Nicole. —Paul Berk ",3737
9,My Friend the Traitor,1988,DramaWar,5.5 / 10,https://yts.rs/movie/my-friend-the-traitor-1988," Two criminals who enrolled in the German police to get out of prison seize an opportunity after the War to redeem themselves. The elder of the two, Mad Bosco, dies at the beginning of their adventure. Georges, 25, is greatly helped by Louise whose dream is to see him turn over a new leaf. She introduces him to Commander Rove, a counter-espionage officer, who decides to employ Georges' skills in exchange for his rehabilitation. Through their hunt for collaborators the relationship between Rove and Georges changes. Mistrust and disdain gradually succumb to a burgeoning friendship. —Anonymous ",2727
10,Won Ton Ton: The Dog Who Saved Hollywood,1976,Comedy,4.7 / 10,https://yts.rs/movie/won-ton-ton-the-dog-who-saved-hollywood-1976," In 1924 Estie comes to Hollywood to become an actress, but the dog, that followed her becomes the star. But Hollywood has its own rules of sucess. —Stephan Eichenberg ",5757
11,This Is the Night,1932,Comedy,6.7 / 10,https://yts.rs/movie/this-is-the-night-1932," An affair is almost exposed when Claire's husband unexpectedly returns early from the Summer Olympics. ",4444
12,Revenge of the Spacemen,2014,ComedyHorror,4.6 / 10,https://yts.rs/movie/revenge-of-the-spacemen-2014," Aliens make a follow up invasion attempt on Rural Ohio after years of unsuccessful attempts. This time they're out for revenge. It's up to local hillbillies and college kids to defend the world from this alien invasion. ",5656
13,Kicking Blood,2021,Fantasy,4.6 / 10,https://yts.rs/movie/kicking-blood-2021," Anna has been living in a haze of psychedelic blood bliss for as long as she can remember. Her hedonistic existence is challenged when she meets Robbie, a charming alcoholic party boy late one night. He is looking for a drink; she is looking for a feed; they bond. Anna takes him home, intrigued that Robbie doesn't care if he lives or dies. She decides to let him live and stay with her until he gets sober - putting her at odds with her true murderous nature and the wrath of her vampire clan. When Anna watches her best mortal friend die from cancer, she's inspired to choose life. Confronted by her cohort of vampires, Anna vows to quit blood and become human again for the love of life - and Robbie, of course. Anna, weakened by blood withdrawal, makes a run for it with Robbie as they are preyed upon by the vampires. In a final showdown, what it means to be human is put to the test. ",7676
14,The Child of the Future: How Might He Learn?,1964,Documentary,0 / 10,https://yts.rs/movie/the-child-of-the-future-how-might-he-learn-1964,"  ",2424
15,Pacific Adventure,1946,AdventureBiography,6.8 / 10,https://yts.rs/movie/pacific-adventure-1946," An Australian biopic about the life of pioneering aviator Charles ""Smithy"" Kingsford-Smith. ",4141
16,Angela,1995,Drama,6.3 / 10,https://yts.rs/movie/angela-1995," The ten year-old Angela and her little sister Ellie move to an old house in the countryside with her parents Mae and Andrew. Their mother has mental illness and has just left an institution and her husband tries to keep the dysfunctional family together. Angela is an imaginative disturbed girl that might have inherited the illness of her mother and is obsessed by purification to get rid of her sins; and has visions of the fallen angel Lucifer and the Virgin Mary. After consuming an early version of Four Loko, She leads her little sister in her paranoia and uses a circle of toys and dolls to protect them against evil. They have a crazy neighbor that Angela believes is an angel and she asks the woman how to find the way to heaven. When Mae returns to the institution, Angela becomes uncontrollable in her quest to heaven. —Claudio Carvalho, Rio de Janeiro, Brazil ",4747
17,Film About a Woman Who...,1974,Drama,6.3 / 10,https://yts.rs/movie/film-about-a-woman-who-1974," Rainer's landmark film is a meditation on ambivalence that plays with cliche and the conventions of soap opera while telling the story of a woman whose sexual dissatisfaction masks an enormous anger. ",4242
18,I Want It All,1999,Comedy,5.1 / 10,https://yts.rs/movie/i-want-it-all-1999," Eva never imagined that one day she would have a husband and children. Suddenly, a new professional challenge arises. Eva does not want to choose, she wants everything: success, love, children and everything else. ",3030
19,National Velvet,1944,DramaFamily,7.3 / 10,https://yts.rs/movie/national-velvet-1944," Mi Taylor (Mickey Rooney) was a young wanderer and opportunist whose father had given him ""all the roads in the Kingdom"" to travel. One of the roads, and a notation in his father's journal, leads him to the quiet English countryside home of the Brown family. The youngest daughter, Velvet (Dame Elizabeth Taylor), has a passion for horses and when she wins the spirited steed Pie in a town lottery, Mi is encouraged to train the horse for the Grand National - England's greatest racing event. —A.L.Beneteau ",5555
0,Let Fury Have the Hour,2012,BiographyDocumentary,5.6 / 10,https://yts.rs/movie/let-fury-have-the-hour-2012," In his feature directorial debut, acclaimed author, visual artist, and filmmaker Antonino D'Ambrosio has fashioned a lively social history that chronicles how a generation of artists, thinkers, and activists used their creativity-and their creations-as a response to the reactionary politics that came to define our culture in the 1980s. An exuberant, mixed media collage that incorporates graphic art, music, animation, and spoken word, the film spans three decades of change--from the cynical heyday of Reagan and Thatcher through today-- and brings together over 50 writers, playwrights, painters, poets, skateboarders, dancers, musicians, and rights advocates, all of whom attest to the fact that we can re-imagine the world we live in and take an active role in making that vision a reality. —Anonymous ",4949
1,La Flamme Rouge,2021,CrimeDrama,6.3 / 10,https://yts.rs/movie/la-flamme-rouge-2021," One traumatic night unravels the life of a retired cycling champ into a nightmarish fever dream of murder, steroid rings, and assassins. Only a renegade detective can help him survive until sunrise. ",8989
2,I Superbiker 2 - The Showdown,2012,Sport,5.7 / 10,https://yts.rs/movie/i-superbiker-2-the-showdown-2012," Enjoy the ultimate in British Superbike action! This is the high octane, all action, nail-biting wheel to wheel story of the 2011 British Superbike season with explosive action sequences and exclusive behind-the-scenes material! ",5353
3,"I, Superbiker 5: Split Second",2015,Documentary,3.2 / 10,https://yts.rs/movie/i-superbiker-5-split-second-2015," Intimately documents the thrilling 2014 British Superbike Season. ",4747
4,V.C. Andrews' Landry Family Hidden Jewel,2021,Drama,5.6 / 10,https://yts.rs/movie/v-c-andrews-landry-family-hidden-jewel-2021," Hidden Jewel finds Ruby searching for a new life for her children, desperate to protect her beloved daughter from their family's dark secrets. Raised amidst the privileged of New Orleans, Pearl (Laporte) aspires to become a doctor, but when one of her twin brothers has a serious unfortunate accident, Pearl's dreams are threatened and Ruby runs once again to the bayou; and when the other brother becomes dangerously ill, Pearl must journey to the backwaters to find her mother and uncover the mysterious secrets of her past. —Lifetime ",11615
5,"I, Superbiker: Day of Reckoning",2013,DocumentarySport,0 / 10,https://yts.rs/movie/i-superbiker-day-of-reckoning-2013," As reigning champion Tommy Hill was forced to defend his crown, ex Moto GP star Shane 'Shakey' Byrne and Australian Josh Brookes were among those in hot pursuit, with additional competition from rising British star Alex Lowes. Hang on tight as this turbo-charged, pedal-to-the-metal documentary throws you into an electrifying showdown - in which the six racers had nothing to lose and everything to win! ",5252
6,Best Friends Forever,2021,ActionThriller,5.5 / 10,https://yts.rs/movie/best-friends-forever-2021," Lucy worries about how close her daughter Evelyn is with her best friend Jenna. When Jenna's mother is murdered, Lucy allows Jenna to move in with them so she can finish her senior year. But Evelyn and Jenna's relationship turns weirder, making Lucy feel like she's being pushed out of Evelyn's life. Eventually, she fears Jenna may be obsessed and may even have killed her own mother. And after a high school boy is found murdered, Lucy must face the shocking truth. ",8888
7,As Gouda as it Gets,2020,ComedyRomance,6.3 / 10,https://yts.rs/movie/as-gouda-as-it-gets-2020," Artisan cheese shop owner Brie finds herself competing for a $50,000 prize in her town's annual Cheese Festival. To boost her presence, she teams up with an influential cheese critic to profile her vintage smoked gouda. As their friendship develops into romance, a competitor's business proposal and unforeseen complications force Brie to put her shop - and heart - on the line. —Incendo ",8686
8,A Rich Christmas,2021,DramaFamily,4.5 / 10,https://yts.rs/movie/a-rich-christmas-2021," Spoiled socialite will learn a lesson after her father asks her to work in a family homeless center. ",9090
9,All That Glitters: Britain's Next Jewellery Star,2021,Reality-TV,6.4 / 10,https://yts.rs/movie/all-that-glitters-britains-next-jewellery-star-2021," Katherine Ryan presents the search for the next big name in the jewellery world as eight jewellers are challenged to impress two of the biggest names in the business. ",4949
10,Doctor,2021,ActionComedy,7.8 / 10,https://yts.rs/movie/doctor-2021," When his fiancee's niece is kidnapped, a stoic army doctor and his motley team launch a rescue operation in which they need both wit and their wits. ",28886
11,70/30,2021,Documentary,5.2 / 10,https://yts.rs/movie/7030-2021," In 2019, thousands of Danish children and youths took to the streets. They stayed away from school to demonstrate for the climate, mobilise their parents and grandparents, and demand action - now. When elections were called later the same year, it was clear that green climate policies attracted voters, and suddenly the climate was at the top of the political agenda. 70/30 portrays the creation of one of the world's most ambitious climate laws, with the goal of reducing Denmark's CO2 emissions by 70% by 2030. But will the politicians, citizens and industry be able to come together to make Denmark a green pioneer? Or will the election promises and green ambitions crumble when the new climate law is faced with reality? The climate minister Dan Jørgensen, the former chair of the climate committee Ida Auken, and the two young climate activists Esther Kjeldahl and Selma de Montgomery are in a race against time. With access to both the political negotiations behind the scenes and to the battle of the young activists on the streets, Phie Ambo has created an important, engaging and, above all, inspiring film about the greatest challenge of our times. ",4949
12,Agatha Christie: 100 Years of Suspense,2020,Documentary,7.2 / 10,https://yts.rs/movie/agatha-christie-100-years-of-suspense-2020," To mark the centenary of the publication of Agatha Christie's debut novel, a celebration of ten of her most beloved stories. ",6969
13,Sniper,2020,Action,5.4 / 10,https://yts.rs/movie/sniper-2020," The Tiger Security Team of the Storm Security Company is responsible for security and rescue work. Luo Xinglie is punished for accidentally injuring a hostage during a rescue mission. He gets reduced to a security officer and gets no reward for the mission. At this time, the Tiger Team receives a new mission, hired by the International Peace Foundation, to escort a truck full of water purifiers and a large number of crop seeds to the villages of Sakiya for civilian assistance. However, due to the invasion of the non-government organization in Sakya, some areas are in war. The team is likely to encounter fighting, and the unknown danger is gradually approaching. ",29088
14,Love Hard,2021,ComedyRomance,6.3 / 10,https://yts.rs/movie/love-hard-2021," Hopeless romantic but eternally single LA journalist Natalie (Nina Dobrev) thinks things are beginning to look up when she swipes right on a dreamy guy from the East Coast, Tag (Darren Barnet). Taking a leap of faith she jumps on a flight to surprise her crush for the holidays, only to discover that she's been catfished by Tag's childhood friend who is equally unlucky in love, Josh (Jimmy O. Yang). This lighthearted romantic comedy chronicles her attempt to reel in love. —Netflix ",39188
15,Beans,2020,Drama,6.8 / 10,https://yts.rs/movie/beans-2020," Based on true events, Tracey Deer's debut feature chronicles the 78-day standoff between two Mohawk communities and government forces in 1990 in Quebec. ",7272
16,Verplant - How Two Guys Try to Cycle from Germany to Vietnam,2021,AdventureBiography,7.8 / 10,https://yts.rs/movie/verplant-how-two-guys-try-to-cycle-from-germany-to-vietnam-2021," Matthias and Tobias want to cycle from Germany to Vietnam. Their lack of training shows when they start their endeavor in August 2018. Against all odds and without ever losing their humor they push forward to reach that one ambitious goal. ",6262
17,Anonymous Animals,2020,ActionFantasy,4.6 / 10,https://yts.rs/movie/anonymous-animals-2020," The balance of power between man and animal has changed. In a remote countryside, any encounter with the dominant can become hostile. ",6464
18,Breaking Spirits,2016,ActionThriller,0 / 10,https://yts.rs/movie/breaking-spirits-,"  ",9898
19,Never Back Down: Revolt,2021,ActionDrama,4.8 / 10,https://yts.rs/movie/never-back-down-revolt-2021," A woman who is kidnapped and forced to compete in elite underground fights and has to battle her way out to freedom. ",23937
0,Behind the Wall,2008,ActionHorror,3.6 / 10,https://yts.rs/movie/behind-the-wall-2008," Maine coastal town Harrison Bay is broke, so deputy mayor Drew Cabot arranges a deal with a contractor to develop the abandoned lighthouse for tourism. Father Hendry fails to convince the town council to veto the project. He also invited, sneakily, Katelyn Parks, who was foster-raised out of state after her father Christopher was locked-up for her mother's murder there. Once the basement is broken open, new bloodshed starts, and the horrible truth about the past is slowly unveiled. —KGF Vissers ",65571
1,Behind The Candelabra,2013,ActionBiography,7 / 10,https://yts.rs/movie/behind-the-candelabra-2013," Scott Thorson, a young bisexual man raised in foster homes, is introduced to flamboyant entertainment giant Liberace and quickly finds himself in a romantic relationship with the legendary pianist. Swaddled in wealth and excess, Scott and Liberace have a long affair, one that Scott eventually begins to find suffocating. Kept away from the outside world by his flashily effeminate yet deeply closeted partner, and submitting to extreme makeovers and even plastic surgery at the behest of his lover, Scott eventually rebels. When Liberace finds himself a new lover, Scott is tossed onto the street. He then seeks legal redress for what he feels he has lost. But throughout, the bond between the young man and the star never completely tears. —Jim Beaver ",71468
2,Behind Enemy Lines,2001,ActionDrama,6.4 / 10,https://yts.rs/movie/behind-enemy-lines-2001," Fighter navigator Chris Burnett wants out: he was looking for something more than the boring recon missions he's been flying. He finds himself flying the lone Christmas day mission over war-torn Bosnia. But when he talks pilot Stackhouse into flying slightly off-course to check out an interesting target, the two get shot down. Burnett is soon alone, trying to outrun a pursuing army, while commanding officer Reigert finds his rescue operation hamstrung by politics, forcing Burnett to run far out of his way. —Jon Reeves ",234723
3,Behaving Badly,2014,ActionBiography,4.4 / 10,https://yts.rs/movie/behaving-badly-2014," 18 year old Rick Stevens is willing to do whatever it takes to win the heart of Nina Pennington. In his quest to land the girl of his dreams, he has to contend with her psycho ex, his best friends horny mother, a manic strip club manager, a perverted principal, a lecherous priest, his suicidal mother, and a patron saint with a camel toe. No one ever said love was easy. ",142286
4,Beginners,2010,ActionComedy,7.2 / 10,https://yts.rs/movie/beginners-2010," In 2003, 38-year-old graphic artist Oliver Fields has just lost his father Hal to cancer, 5 years after his mother Georgia's death. Oliver is naturally sullen because of his relationships with his parents growing up (especially his mother, who had a unique view of life) and watching their cordial but somewhat distant marital relationship, but he's more so now as he deals with his personal losses. He embarks on a relationship with French actress Anna, hoping that his re-energized relationship with Hal following Georgia's death, and Hal's new outlook on life, will show him how to act in a loving relationship. After Georgia's death, Hal came out of the closet and began to live with a new joie de vivre and have an open relationship with Andy, a much-younger man. Oliver's relationship with Anna has other obstacles, including her own vagabond lifestyle and Oliver inheriting Arthur, Hal's very needy Jack Russell terrier. —Huggo ",37634
